Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID,Wards,Community Areas,Zip Codes,Census Tracts,Historical Wards 2003-2015
2021,158596,,Not Submitted,4025 4041 N KEDVALE AVE,60641,0.0,false,IRVING PARK,,61400,,,,,,,,,,,,,,,,41.94615136,-87.74707694,POINT (-87.74707694 41.94615136),2021-158596,21,15,22618,360,25
2021,159425,Lawless Gardens,Submitted,3510 S RHODES AVE,60653,0.0,false,DOUGLAS,,740173,,,,,0,0,0,0,,,,,,,,41.83083707,-87.61542242,POINT (-87.61542242 41.83083707),2021-159425,10,1,4301,561,1
2021,159963,Park Plaza | A Jewish Senior Living Community,Not Submitted,6840 N SACRAMENTO AVE,60645,0.0,false,WEST RIDGE,,193255,,,,,,,,,,,,,,,,42.0061506,-87.70564326,POINT (-87.70564326 42.0061506),2021-159963,27,20,22528,32,42
2021,171972,Little Village Plaza,Not Submitted,3045 3101 W 26TH ST,60623,0.0,false,SOUTH LAWNDALE,,72949,,,,,,,,,,,,,,,,41.84367927,-87.70195553,POINT (-87.70195553 41.84367927),2021-171972,1,32,21569,124,29
2021,172126,,Not Submitted,1340 1350 W FULLERTON AVE,60614,0.0,false,LINCOLN PARK,,128002,,,,,,,,,,,,,,,,41.92201051,-87.65461957,POINT (-87.65461957 41.92201051),2021-172126,34,68,21190,797,16
2021,175521,,Not Submitted,5460 5470 S HARPER AVE,60615,0.0,false,HYDE PARK,,68515,,,,,,,,,,,,,,,,41.80224043,-87.60332678,POINT (-87.60332678 41.80224043),2021-175521,33,8,21192,147,1
2021,175601,,Exempt,2701 2749 N ELSTON AVE,60647,,true,LOGAN SQUARE,,56563,,,,,,,,,,,,,,,,41.93151197,-87.68673624,POINT (-87.68673624 41.93151197),2021-175601,40,23,22535,240,24
2021,240752,200 N. Dearborn CA,Submitted,200 N Dearborn St,60601,0.0,false,LOOP,Multifamily Housing,419953,1989,1,,,0,0,0,0,,,,,,,,41.88603988,-87.62982289,POINT (-87.62982289 41.88603988),2021-240752,36,38,14309,92,22
2021,243703,The Newport CA,Submitted,4800 S Chicago Beach Dr,60615,0.0,false,KENWOOD,Multifamily Housing,842012,1963,2,,,0,0,0,0,,,,,,,,41.80656841,-87.58670323,POINT (-87.58670323 41.80656841),2021-243703,10,5,21192,400,1
2021,112188,Dunbar Vocational Acad HS -CPS,Exempt,3000 S King Dr,60616,,true,DOUGLAS,K-12 School,319937,1955,1,,,,,,,,,,,,,,41.84050679,-87.61755085,POINT (-87.61755085 41.84050679),2021-112188,10,1,21194,191,48
2021,251375,Ashe Elementary -CPS,Exempt,8507 S Ingleside,60619,,true,CHATHAM,K-12 School,55335,1960,1,,,,,,,,,,,,,,41.740171,-87.601226,POINT (-87.601226 41.740171),2021-251375,35,40,21546,141,9
2021,103271,,Not Submitted,1344  N DEARBORN ST,60610,0.0,false,NEAR NORTH SIDE,,130200,,,,,,,,,,,,,,,,41.9037528,-87.63558845,POINT (-87.63558845 41.9037528),2021-103271,46,37,14926,148,41
2021,255931,,Not Submitted,5748 N Hermitage Ave,60660,0.0,false,EDGEWATER,,75660,,,,,,,,,,,,,,,,41.99013,-87.66068,POINT (-87.66068 41.99013),2021-255931,16,76,4451,536,40
2021,256608,Laystrom Manufacturing Company,Not Submitted,3900 W Palmer St,,0.0,false,,,76600,,,,,,,,,,,,,,,,41.88425,-87.63245,POINT (-87.63245 41.88425),2021-256608,36,38,14310,92,22
2021,256690,Ingleside Investment Group LLC,Not Submitted,1335 W FARGO AVE,60626-1864,0.0,false,,,31975,,,,,,,,,,,,,,,,42.017109,-87.6644495,POINT (-87.6644495 42.017109),2021-256690,5,10,21853,357,3
2021,256841,,Not Submitted,1649 Broadway,60657,0.0,false,,,69000,,,,,,,,,,,,,,,,41.939695,-87.66901,POINT (-87.66901 41.939695),2021-256841,18,57,4449,742,16
2021,244791,(IL0669) - Chandler,Submitted,450 E Waterside Dr,60601,4.0,false,LOOP,Multifamily Housing,628921,2007,1,,61,12050982.7,23409626.6,0,0,,74.4,122.4,78.1,125.3,2964.6,6.2,41.88716277,-87.61536682,POINT (-87.61536682 41.88716277),2021-244791,36,38,14309,580,22
2021,113745,The Sexton Condominium Association,Submitted,360 W Illinois St,60654,4.0,false,NEAR NORTH SIDE,Multifamily Housing,449107,1915,1,,97,8029855.4,4577299.5,0,0,,32.2,69.7,32.4,68.2,1390,3.6,41.89075805,-87.63753056,POINT (-87.63753056 41.89075805),2021-113745,36,37,4446,652,22
2021,130218,,Not Submitted,2430 2458 W GEORGE ST,60618,0.0,false,AVONDALE,,82800,,,,,,,,,,,,,,,,41.93399769,-87.68971091,POINT (-87.68971091 41.93399769),2021-130218,20,22,21538,467,24
2021,101343,The Resurrection Project - Casa Morelos,Submitted,2015  S MORGAN ST,60608,4.0,false,LOWER WEST SIDE,Multifamily Housing,64644,2009,1,,90,1101240.1,1992554,0,0,,56.9,95.1,58.8,95.8,263.1,4.8,41.84915346,-87.67089596,POINT (-87.67089596 41.84915346),2021-101343,26,33,14920,126,8
2021,250045,Hyde Park Academy HS -CPS,Exempt,6220 S Stony Island Ave,60637,,true,WOODLAWN,K-12 School,324961,1911,1,,,,,,,,,,,,,,41.78216916,-87.58726468,POINT (-87.58726468 41.78216916),2021-250045,33,9,22260,469,32
2021,253966,Greenview Place SLF,Submitted,1501 W Melrose St,60657,4.0,false,LAKE VIEW,Senior Living Community,130428,2009,1,,67,2990656.6,3488389.8,0,0,,77.8,144.5,82,149.8,612.4,7.4,41.93985627,-87.65846293,POINT (-87.65846293 41.93985627),2021-253966,25,57,4449,710,38
2021,160211,633 N St. Clair,Submitted,633 N St Clair St,60611,4.0,false,NEAR NORTH SIDE,Office,632163,1991,1,,94,18318604.9,123162.3,0,0,,29.2,81.3,29.2,81.3,2622.9,4.1,41.893497,-87.622686,POINT (-87.622686 41.893497),2021-160211,36,37,21182,158,22
2021,173811,Park Harbor Condominium Association,Submitted,3620 N. Pine Grove Ave,60613,4.0,false,LAKE VIEW,Multifamily Housing,102874,1970,1,,100,1381911.2,3055279.6,0,0,,48.7,77.6,51,80,359.7,3.9,41.95402016,-87.6620278,POINT (-87.6620278 41.95402016),2021-173811,18,57,21186,725,13
2021,147816,6101 North Clark,Submitted,6101 6111 N CLARK ST,60660,4.0,false,EDGEWATER,Multifamily Housing,53000,1928,1,,,693664.7,2031274.8,0,0,,51.4,76.9,54,78.6,207,3.9,41.99090057,-87.66660744,POINT (-87.66660744 41.99090057),2021-147816,16,76,4451,536,40
2021,251880,Enrico Tonti Elementary School,Submitted,5815 S Homan Ave,60629,1.0,false,GAGE PARK,K-12 School,89103,1928,3,,26,3055820,4545240,0,0,,85.3,149.6,91.5,156.1,677.9,7.6,41.78740764,-87.70774371,POINT (-87.70774371 41.78740764),2021-251880,6,61,21867,801,49
2021,251599,Orozco Elementary -CPS,Not Submitted,1940 W 18th St,60608,0.0,false,LOWER WEST SIDE,K-12 School,107722,1999,1,,,,,,,,,,,,,,41.85797637,-87.67512452,POINT (-87.67512452 41.85797637),2021-251599,26,33,14920,366,8
2021,172772,Manhattan Building Condominium,Submitted,423 439 S DEARBORN ST,60605,1.0,false,LOOP,Multifamily Housing,121000,1891,1,,10,8082059,0,0,0,,66.8,187,70.1,196.4,1154.3,9.5,41.86863212,-87.62730687,POINT (-87.62730687 41.86863212),2021-172772,10,38,14913,368,48
2021,172103,21 East Chestnut Condominium Association,Submitted,21  E CHESTNUT ST,60611,1.0,false,NEAR NORTH SIDE,Multifamily Housing,122400,1962,1,,16,3813803.9,10332699.7,0,0,,115.6,175.9,124.1,184.9,1093.5,8.9,41.89579275,-87.62247957,POINT (-87.62247957 41.89579275),2021-172103,11,37,21182,158,22
2021,251402,Dett -CPS,Exempt,2306 W Maypole Ave,60612,,true,NEAR WEST SIDE,K-12 School,61600,1961,1,,,,,,,,,,,,,,41.88416052,-87.68478473,POINT (-87.68478473 41.88416052),2021-251402,46,29,21184,37,48
2021,120347,1033 Van Buren,Submitted,1033 W VAN BUREN ST,60607,4.0,false,NEAR WEST SIDE,Office,82712,1905,1,,100,327374.8,1361469,0,0,,20.4,28.4,22.4,30.5,119.1,1.4,41.87626485,-87.65305417,POINT (-87.65305417 41.87626485),2021-120347,26,29,14917,87,48
2021,175857,Lake Street Lofts LLC,Submitted,900 910 912 W Lake St & 212 N Peoria St,60607,4.0,false,NEAR WEST SIDE,Multifamily Housing,126000,1886,1,,99,1999277.8,1704904.3,0,0,,34.3,68.4,35.4,68.7,376.1,3.5,41.87399385,-87.651678,POINT (-87.651678 41.87399385),2021-175857,48,29,14917,97,8
2021,160277,208 S La Salle Whole Building,Submitted,208 S LaSalle St,60604,3.5,false,LOOP,Hotel,907563,1911,1,,54,32212125.6,44031717.8,0,23062396.1,,109.4,173.4,111,175.4,8154.9,9,41.87908631,-87.63302012,POINT (-87.63302012 41.87908631),2021-160277,36,38,14912,92,22
2021,174189,,Not Submitted,16  N MORGAN ST,60607,0.0,false,NEAR WEST SIDE,,156536,,,,,,,,,,,,,,,,41.87399385,-87.651678,POINT (-87.651678 41.87399385),2021-174189,48,29,14917,97,8
2021,242633,530 North Lake Shore Drive,Submitted,530 N Lake Shore Dr,60611,4.0,false,NEAR NORTH SIDE,Multifamily Housing,650925,2003,1,,91,7989218.5,20903799.1,0,0,,56.2,86.2,60.4,90.1,2251.4,4.4,41.89211944,-87.61494973,POINT (-87.61494973 41.89211944),2021-242633,36,37,21182,534,22
2021,161150,1104 S Wabash,Submitted,1104 S Wabash Ave,60605,3.0,false,LOOP,College/University,166094,1960,0,,,6110796.5,4169879.6,0,0,,61.9,129.4,65.3,132.9,1094.3,6.6,41.8690082,-87.62636383,POINT (-87.62636383 41.8690082),2021-161150,10,38,14913,368,48
2021,113587,(IL584) - 1240 Lake Shore Drive,Submitted,1240  N LAKE SHORE DR,60610,1.0,false,NEAR NORTH SIDE,Multifamily Housing,160528,1970,1,,13,5863750.6,5781202.2,0,0,,76.9,148.4,80.9,154.7,1144.6,7.6,41.9037528,-87.63558845,POINT (-87.63558845 41.9037528),2021-113587,46,37,14926,148,41
2021,251580,Gillespie Elementary -CPS,Exempt,9301 S State St,60619,,true,ROSELAND,K-12 School,91300,1962,1,,,,,,,,,,,,,,41.72471299,-87.62320762,POINT (-87.62320762 41.72471299),2021-251580,43,45,21546,554,31
2021,146136,Reside on Barry,Submitted,533 549 W BARRY AVE,60657,3.0,false,LAKE VIEW,Multifamily Housing,113088,1966,1,,43,3706946.9,6681891.3,0,0,,91.9,153.8,96.9,157.6,884.4,7.8,41.9398511,-87.65844752,POINT (-87.65844752 41.9398511),2021-146136,25,57,4449,710,38
2021,165924,Lincoln Park Plaza,Submitted,600 W Diversey Pkwy,60614,2.5,false,LAKE VIEW,Multifamily Housing,328617,1982,1,,53,6474703.3,18077916.3,0,0,,90.8,137.3,96.1,141.5,1885,7,41.93284849,-87.64381155,POINT (-87.64381155 41.93284849),2021-165924,25,57,21190,102,38
2021,103682,,Not Submitted,4624  S ELLIS AVE,60653,0.0,false,KENWOOD,,100332,,,,,,,,,,,,,,,,41.82021138,-87.61246867,POINT (-87.61246867 41.82021138),2021-103682,10,4,4301,583,1
2021,251723,James Shields Middle School,Submitted,2611 W 48th St,60632,2.0,false,BRIGHTON PARK,K-12 School,95265,2012,1,,48,3122652.2,2381370,0,0,,57.8,118,60.1,119.4,572.5,6,41.806552,-87.689787,POINT (-87.689787 41.806552),2021-251723,8,55,22248,85,49
2021,160354,Asbury Plaza Venture LLLP,Submitted,750 N Dearborn St,60654,2.0,false,NEAR NORTH SIDE,Multifamily Housing,431149,1981,1,,47,7866168.1,25526062,0,0,,93.5,136.8,101.9,145,2479.3,6.9,41.896027,-87.629782,POINT (-87.629782 41.896027),2021-160354,11,37,4446,670,22
2021,101755,Harris Bank Building,Submitted,115 S LaSalle St,60603,2.5,false,LOOP,Office,1526102,1974,1,,53,64870752.4,85834798.1,0,0,,98.8,178.1,102.3,181.8,13824.4,9.1,41.88031326,-87.63191186,POINT (-87.63191186 41.88031326),2021-101755,36,38,14311,92,22
2021,252037,Ratner Athletics Center,Submitted,5530 S Ellis Ave,60637,2.0,false,HYDE PARK,Fitness Center/Health Club/Gym,168984,2003,1,,,10960531.4,0,19336257.1,4441572,,205.6,343.2,206.4,345.2,3083.4,18.2,41.794456,-87.601381,POINT (-87.601381 41.794456),2021-252037,33,8,22260,154,32
2021,175542,3260 North Lake Shore,Submitted,3260  N LAKE SHORE DR,60657,4.0,false,LAKE VIEW,Multifamily Housing,281528,1928,1,,86,2787218.4,14463521.2,0,0,,66.6,88.8,72.6,93.8,1166.3,4.5,41.9398511,-87.65844752,POINT (-87.65844752 41.9398511),2021-175542,25,57,4449,710,38
2021,158743,Buena Pointe Condominium Association,Submitted,4344 4360 N BROADWAY,60613,3.0,false,UPTOWN,Multifamily Housing,149524,2004,1,,62,3076848.5,7066575,0,0,,67.8,107.2,72,110.4,814.8,5.4,41.96138688,-87.65532001,POINT (-87.65532001 41.96138688),2021-158743,39,31,21186,577,37
2021,158422,"600 Fulton Owner, LLC",Submitted,600 W Fulton St,60661,2.5,false,NEAR WEST SIDE,Office,236216,1901,1,,55,14592851,0,0,0,,61.8,173,63.5,177.9,2084.2,8.8,41.88716166,-87.64324873,POINT (-87.64324873 41.88716166),2021-158422,36,29,4452,784,22
2021,250176,O'Hare Building 804 (Aviation Administration Building),Submitted,10510 W Zemke Rd,60666,2.0,false,OHARE,Office,387041,1943,1,,41,10159840.7,5611220.1,0,0,,95,206.8,97.8,206.2,1749.1,10.5,41.99489655,-87.88775165,POINT (-87.88775165 41.99489655),2021-250176,29,75,16197,668,34
2021,251219,555 Cornelia (251219),Submitted,555 W Cornelia Ave,60657,4.0,false,LAKE VIEW,Multifamily Housing,250200,1961,1,,96,1584135.6,13826466.9,0,0,,69.8,85.8,76.7,93.1,960.6,4.4,41.94580944,-87.64408989,POINT (-87.64408989 41.94580944),2021-251219,39,57,4449,169,37
2021,254025,Englewood,Submitted,901 W 63rd St,60621,3.5,false,Englewood,Multifamily Housing,62800,2010,1,,80,2207931.5,1233428.2,0,0,,54.8,119.1,56.6,121.5,380.9,6.1,41.7761103,-87.6399,POINT (-87.6399 41.7761103),2021-254025,4,66,21559,435,53
2021,256490,,Submitted,5427 N Broadway St,60640,0.0,false,EDGEWATER,,93960,,,,,0,0,0,0,,,,,,,,41.97459,-87.66273,POINT (-87.66273 41.97459),2021-256490,18,31,22616,633,37
2021,118695,260-Senior Suites of Bridgeport,Submitted,2825  S HALSTED,60608,3.0,false,BRIDGEPORT,Senior Living Community,69455,2005,1,,67,1973620.2,3754999.9,0,0,,82.5,136.3,86.8,139.3,481.3,6.9,41.84915346,-87.67089596,POINT (-87.67089596 41.84915346),2021-118695,26,33,14920,126,8
2021,251255,Tower Park Residences: 1235 South Prairie Avenue,Submitted,1235 S Prairie Ave,60605,3.5,false,NEAR SOUTH SIDE,Multifamily Housing,605856,2006,1,,77,10170312.2,25227300.3,0,0,,58.4,90.7,62.4,94.2,2792.5,4.6,41.86619413,-87.62121604,POINT (-87.62121604 41.86619413),2021-251255,9,34,14913,374,48
2021,101671,,Not Submitted,6101 6115 N SEELEY AVE,60659,0.0,false,WEST RIDGE,,65250,,,,,,,,,,,,,,,,41.99046172,-87.70620782,POINT (-87.70620782 41.99046172),2021-101671,27,20,4450,30,42
2021,251250,Lincoln Park Villas,Submitted,1920 N Clark St,60614,0.0,false,LINCOLN PARK,,82955,,,,,0,0,0,0,,,,,,,,41.91720134,-87.63571887,POINT (-87.63571887 41.91720134),2021-251250,34,68,21190,271,51
2021,253946,"Lakeview Pointe Condominium Association, Inc.",Submitted,7736 7772 N Sheridan Rd,60626,4.0,false,ROGERS PARK,Multifamily Housing,80000,2003,1,,86,1608660.1,2706485.4,0,0,,53.9,91.8,56.3,92.8,373.5,4.7,42.01036185,-87.66829765,POINT (-87.66829765 42.01036185),2021-253946,5,10,21853,358,3
2021,243199,Montgomery on Superior Condominium Association,Submitted,500 W Superior St,60654,1.0,false,NEAR NORTH SIDE,Multifamily Housing,649737,2005,1,,11,15585401.8,32202499.3,0,0,,118.5,192.1,127.1,201.1,3936.4,9.8,41.89587403,-87.64226427,POINT (-87.64226427 41.89587403),2021-243199,36,37,4446,617,22
2021,243929,(IL1074) ParkShore Condominium,Submitted,195 N Harbor Dr,60601,2.0,false,LOOP,Multifamily Housing,1122828,1991,1,,46,32300445.2,22092652.3,0,0,,53.9,112.5,55.5,114.2,5786.8,5.7,41.88566808,-87.61471363,POINT (-87.61471363 41.88566808),2021-243929,36,38,14309,580,22
2021,165269,"The Selfhelp Home, Inc.",Submitted,908 920 W ARGYLE ST,60640,1.0,false,UPTOWN,Senior Living Community,147129,1962,1,,7,10911064.2,4619300,0,0,,105.6,240.6,110,249.3,1803.7,12.3,41.97223008,-87.6645957,POINT (-87.6645957 41.97223008),2021-165269,18,31,22616,633,37
2021,239042,400 North LaSalle Condominium Association,Submitted,400 N LaSalle St,60654,3.0,false,NEAR NORTH SIDE,Multifamily Housing,597736,2003,1,,61,14284123,22239779.7,0,0,,61.1,106,64.6,108.5,3221.4,5.4,41.88962593,-87.63339019,POINT (-87.63339019 41.88962593),2021-239042,36,37,4446,670,22
2021,173708,2756-64 N. Pine Grove Ave.,Submitted,2756 2760 N PINE GROVE AVE,60614,2.0,false,LINCOLN PARK,Multifamily Housing,133560,1925,1,,45,1984223.7,9968102.9,0,0,,89.5,120,95.4,124.3,812.9,6.1,41.92201051,-87.65461957,POINT (-87.65461957 41.92201051),2021-173708,34,68,21190,797,16
2021,251762,Franz Peter Schubert Elementary School,Submitted,2727 N Long Ave,60639,2.5,false,BELMONT CRAGIN,K-12 School,101364,1930,4,,59,1616821.2,5884260.1,0,0,,74,105.6,81.7,114.8,543.5,5.4,41.93000505,-87.76055407,POINT (-87.76055407 41.93000505),2021-251762,17,19,22615,79,7
2021,241873,The Columbian Condominium Association,Submitted,1160 S Michigan Ave,60605,3.0,false,LOOP,Multifamily Housing,541521,2007,1,,63,10808755.4,19446579.2,0,0,,65.2,109.2,68.5,110.9,2576.7,5.6,41.86776111,-87.62464689,POINT (-87.62464689 41.86776111),2021-241873,10,38,14913,368,48
2021,175263,1725 West North Avenue Condominium,Submitted,1725  W NORTH AVE,60622,4.0,false,WEST TOWN,Multifamily Housing,55892,1916,1,,84,888813.4,1043441.9,0,0,,40.7,75.4,40.7,75.4,182.4,3.8,41.90225377,-87.68447845,POINT (-87.68447845 41.90225377),2021-175263,11,25,21560,541,16
2021,256615,Marquee at Block 37,Submitted,25 West Randolph Street,,2.5,false,,Multifamily Housing,590021,2016,1,,58,18500007.3,22157536.2,0,0,,68.9,127.2,71.2,128.5,3819.2,6.5,41.88425,-87.63245,POINT (-87.63245 41.88425),2021-256615,36,38,14310,92,22
2021,235739,1000 Condominium Association,Submitted,1000 N Lake Shore Plz,60611,4.0,false,NEAR NORTH SIDE,Multifamily Housing,450036,1964,1,,82,7542577.4,0,0,0,,62.8,99,,,2007.6,5,41.900978,-87.624275,POINT (-87.624275 41.900978),2021-235739,36,37,21182,104,22
